Disease,Baseline_AUROC,Weighted_AUROC,AUROC_Change,Baseline_Precision,Weighted_Precision,Baseline_Recall,Weighted_Recall,Recall_Change,Baseline_F1,Weighted_F1,F1_Change
Atelectasis,0.8324,0.6208,-0.2116,0.6199,0.1492,0.179,0.9012,0.7222,0.2778,0.2559,-0.0219
Cardiomegaly,0.931,0.7175,-0.2135,0.6046,0.0692,0.2947,0.7334,0.4387,0.3962,0.1264,-0.2698
Effusion,0.8671,0.7157,-0.1514,0.6511,0.2458,0.4227,0.9025,0.4798,0.5126,0.3863,-0.1263
Infiltration,0.7458,0.6553,-0.0905,0.559,0.3174,0.2148,0.7132,0.4984,0.3104,0.4393,0.1289
Mass,0.8984,0.567,-0.3314,0.6116,0.0838,0.3135,0.3804,0.0669,0.4145,0.1374,-0.2771
Nodule,0.8369,0.6288,-0.2081,0.569,0.0949,0.1245,0.5176,0.3931,0.2042,0.1604,-0.0438
Pneumonia,0.7865,0.5657,-0.2208,0.0,0.026,0.0,0.5676,0.5676,0.0,0.0497,0.0497
Pneumothorax,0.929,0.6846,-0.2444,0.7085,0.1268,0.436,0.8638,0.4278,0.5398,0.2211,-0.3187
Consolidation,0.8067,0.6642,-0.1425,0.5435,0.1062,0.0275,0.7824,0.7549,0.0524,0.1871,0.1347
Edema,0.8974,0.7389,-0.1585,0.4956,0.0585,0.1222,0.8714,0.7492,0.196,0.1096,-0.0864
Emphysema,0.9529,0.6014,-0.3515,0.5947,0.0448,0.5114,0.9881,0.4767,0.5499,0.0856,-0.4643
Fibrosis,0.8911,0.7312,-0.1599,0.2899,0.0351,0.046,0.6713,0.6253,0.0794,0.0667,-0.0127
Pleural_Thickening,0.8389,0.6708,-0.1681,0.4802,0.0733,0.0849,0.608,0.5231,0.1442,0.1307,-0.0135
Hernia,0.9683,0.746,-0.2223,0.6526,0.0064,0.7209,0.7674,0.0465,0.6851,0.0127,-0.6724
